route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1001,HSL,1,Eira - Töölö - Sörnäinen (M) - Käpylä,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1001H,HSL,1H,Hattulantie - Käpylä,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1002,HSL,2,Olympiaterminaali - Töölö - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1002B,HSL,2B,Töölö halli - Pasilan asema,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1002H,HSL,2H,Töölön halli - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1003,HSL,3,Olympiaterminaali - Eira - Kallio - Töölön halli,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1003H,HSL,3H,Olympiaterminaali - Eira - Urheilutalo,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1004,HSL,4,Katajanokka - Lasipalatsi - Meilahti - Munkkiniemi,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1004H,HSL,4H,Töölön halli - Meilahti - Munkkiniemi,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1005,HSL,5,Katajanokan terminaali - Rautatieasema,,0,http://aikataulut.hsl.fi/linjat/fi/h5.html
1006,HSL,6,Hietalahti - Rautatieasema - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1006H,HSL,6H,Arabia - Vallila,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1006T,HSL,6T,Länsiterminaali - Rautatieasema - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1007,HSL,7,Länsiterminaali - Kruununhaka - Sörnäinen (M) - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h7.html
1007H,HSL,7H,Hattulantie - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h7H.html
1007M,HSL,7M,Rautatientori - Hakaniemi - Sörnäinen (M) - Messukeskus,,0,http://aikataulut.hsl.fi/linjat/fi/h7M.html
1008,HSL,8,Jätkäsaari - Töölö - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h8.html
1008H,HSL,8H,Vallila - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h8H.html
1009,HSL,9,Jätkäsaari - Rautatieasema - Kallio - Pasilan asema,,0,http://aikataulut.hsl.fi/linjat/fi/h9.html
1009H,HSL,9H,Jätkäsaari - Rautatieasema - Kallio,,0,http://aikataulut.hsl.fi/linjat/fi/h9H.html
1010,HSL,10,Kirurgi - Lasipalatsi - Ruskeasuo - Pikku Huopalahti,,0,http://aikataulut.hsl.fi/linjat/fi/h10.html
1010H,HSL,10H,Töölön halli - Ruskeasuo - Pikku Huopalahti,,0,http://aikataulut.hsl.fi/linjat/fi/h10H.html
1010X,HSL,10X,Kuusitie - Pikku Huopalahti,,0,http://aikataulut.hsl.fi/linjat/fi/h10X.html
1014,HSL,14,Hernesaari-Kamppi-Pajamäki,,701,http://aikataulut.hsl.fi/linjat/fi/b14.html
1014X,HSL,14X,Hernesaari-Kamppi,,701,http://aikataulut.hsl.fi/linjat/fi/b14X.html
1015,HSL,15,Ruoholahti-Salmisaari,,701,http://aikataulut.hsl.fi/linjat/fi/b15.html
1016,HSL,16,Rautatientori-Korkeasaari,,701,http://aikataulut.hsl.fi/linjat/fi/b16.html
1016X,HSL,16X,Rautatientori - Korkeasaari,,701,http://aikataulut.hsl.fi/linjat/fi/b16X.html
1017,HSL,17,Hakaniemi - Salmisaari,,701,http://aikataulut.hsl.fi/linjat/fi/b17.html
1018,HSL,18,Eira-Kamppi-Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/b18.html
1018N,HSL,18N,Hernesaari-Kamppi- Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/h18n.html
1019,HSL,19,Kauppatori-Suomenlinna,,4,http://aikataulut.hsl.fi/linjat/fi/hLautta_Kauppatori.html
1019E,HSL,19E,Katajanokka-Suomenlinna,,4,http://aikataulut.hsl.fi/linjat/fi/hLautta_Katajanokka.html
1020,HSL,20,Erottaja-Lauttasaari (Katajaharju),,701,http://aikataulut.hsl.fi/linjat/fi/h20.html
1020N,HSL,20N,Asema-aukio-Lauttasaari,,701,http://aikataulut.hsl.fi/linjat/fi/h20n.html
1020X,HSL,20X,Kamppi-Lauttasaari (Katajaharju),,701,http://aikataulut.hsl.fi/linjat/fi/b20X.html
1021BX,HSL,21BX,Kamppi-Lauttasaari (Vattuniemi),,701,http://aikataulut.hsl.fi/linjat/fi/21bx.html
1021V,HSL,21V,Asema-aukio-Lauttasaari(Vattuniemi),,701,http://aikataulut.hsl.fi/linjat/fi/h21v.html
1023,HSL,23,Rautatientori-Pasila-Ruskeasuo,,701,http://aikataulut.hsl.fi/linjat/fi/b23.html
1023N,HSL,23N,Länsiterminaali-Kamppi-Kallio-Pasila-Ilmala,,701,http://aikataulut.hsl.fi/linjat/fi/h23n.html
1024,HSL,24,Merikatu-Seurasaari,,701,http://aikataulut.hsl.fi/linjat/fi/b24.html
1026,HSL,26,Hakaniemi-Kalasatama,,704,http://aikataulut.hsl.fi/linjat/fi/b26.html
1031,HSL,31,Pohjois-Haaga-Munkkivuori,,704,http://aikataulut.hsl.fi/linjat/fi/b31.html
1032,HSL,32,Pohjois-Haaga-Munkkivuori,,704,http://aikataulut.hsl.fi/linjat/fi/b32.html
1033,HSL,33,Munkkivuori-Tarvo,,704,http://aikataulut.hsl.fi/linjat/fi/b33.html
1034,HSL,34,Munkkivuori-Kaskisaari,,704,http://aikataulut.hsl.fi/linjat/fi/b34.html
1035,HSL,35,Niemenmäki-Munkkivuori-Rakuunantie,,704,http://aikataulut.hsl.fi/linjat/fi/b35.html
1036,HSL,36,Konala-Kannelmäki-Maununneva-Pirkkola,,704,http://aikataulut.hsl.fi/linjat/fi/b36.html
1037,HSL,37,Kamppi - Honkasuo,,701,http://aikataulut.hsl.fi/linjat/fi/b37.html
1039,HSL,39,Kamppi-Munkkiniemi-Konala-Malminkartano-Myyrmäki,,701,http://aikataulut.hsl.fi/linjat/fi/s39_39b.html
1039B,HSL,39B,Kamppi-Munkkiniemi-Konala (teollisuusalue),,701,http://aikataulut.hsl.fi/linjat/fi/s39_39b.html
1039N,HSL,39N,Asema-aukio-Munkkiniemi-Konala-Malminkartano-Honkasuo,,701,http://aikataulut.hsl.fi/linjat/fi/h39n.html
1040,HSL,40,Elielinaukio-Pohjois-Haagan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b40.html
1041,HSL,41,Kamppi-Haaga-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b41.html
1042,HSL,42,Kamppi-Maununneva-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b42.html
1043,HSL,43,Elielinaukio-Kannelmäki-Hakuninmaa,,701,http://aikataulut.hsl.fi/linjat/fi/b43.html
1050,HSL,50,Herttoniemi(M)-Pasila-Ilmala-Suursuo,,701,http://aikataulut.hsl.fi/linjat/fi/b50.html
1051,HSL,51,Hakaniemi-Maunula-Malminkartano,,701,http://aikataulut.hsl.fi/linjat/fi/b51.html
1052,HSL,52,Arabia-Oulunkylä-Munkkiniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b52.html
1054,HSL,54,Itäkeskus(M)- Pitäjänmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b54.html
1055,HSL,55,Rautatientori-Koskela,,701,http://aikataulut.hsl.fi/linjat/fi/b55.html
1056,HSL,56,Kalasatama(M)-Käpylä-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b56.html
1057,HSL,57,Kontula(M)-Kivikko-Latokartano-Käpylä-Munkkiniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b57.html
1058,HSL,58,Itäkeskus(M)-Pasila-Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/h58_58b.html
1058B,HSL,58B,Itäkeskus(M)-Pasila-Meilahden klinikat,,701,http://aikataulut.hsl.fi/linjat/fi/h58_58b.html
1059,HSL,59,Herttoniemi(M)-Pasila-Pajamäki,,701,http://aikataulut.hsl.fi/linjat/fi/b59.html
1061,HSL,61,Rautatientori-Pukinmäki-Siltamäki,,701,http://aikataulut.hsl.fi/linjat/fi/b61.html
1061N,HSL,61N,Rautatientori-Pukinmäki-Töyrynummi,,701,http://aikataulut.hsl.fi/linjat/fi/b61N.html
1061T,HSL,61T,Rautatientori-Pukinmäki-Tapaninkylä,,701,http://aikataulut.hsl.fi/linjat/fi/b61T.html
1063,HSL,63,Elielinaukio-Maunula-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b63.html
1064,HSL,64,Rautatientori-Oulunkylä-Itä-Pakila,,701,http://aikataulut.hsl.fi/linjat/fi/b64.html
1065,HSL,65,Rautatientori-Käpylä-Veräjälaakso,,701,http://aikataulut.hsl.fi/linjat/fi/h65.html
1066,HSL,66,Rautatientori-Maunula-Länsi-Pakila-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b66.html
1066K,HSL,66K,Rautatientori-Metsälä-Maunula-Länsi-Pakila-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b66K.html
1067,HSL,67,Rautatientori-Maunula-Pakila-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67.html
1067N,HSL,67N,Rautatientori-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67N.html
1067V,HSL,67V,Rautatientori-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67V.html
1069,HSL,69,Kamppi-Pasila-Käpylä-Malmi-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/b69.html
1070,HSL,70,Kamppi-Töölö-Pihlajamäki-Pukinmäki-Malmi,,701,http://aikataulut.hsl.fi/linjat/fi/b70.html
1071,HSL,71,Rautatientori-Pihlajisto-Pihlajamäki-Malmi,,701,http://aikataulut.hsl.fi/linjat/fi/b71.html
1071B,HSL,71B,Rautatientori-Arabia- Pihlajisto-Viikki,,701,http://aikataulut.hsl.fi/linjat/fi/b71B.html
1073,HSL,73,Hakaniemi-Malmi-Puistolan as.-Ala-Tikkurila,,701,http://aikataulut.hsl.fi/linjat/fi/b73.html
1073N,HSL,73N,Rautatientori-Malmi-Puistolan asema-Ala-Tikkurila,,701,http://aikataulut.hsl.fi/linjat/fi/h73n.html
1074,HSL,74,Hakaniemi-Malmi-Tapanila-Puistola-Heikinlaakso,,701,http://aikataulut.hsl.fi/linjat/fi/b74.html
